description,manufacturer,correct_code,correct_desc,form,amount,dosage
ФИТОЛАКС N40 ТАБЛ,Эвалар ЗАО,18082,фитолакс,табл,40,500мг
АЛМАГЕЛЬ 170МЛ ФЛАК СУСП,Балканфарма - Троян АД,175,алмагель мернложка,д/вн/пр д/мест флакон сусп,1,170мл
ТЕСТ-ПОЛОСКИ ONE TOUCH SELECT N100,Лайфскан Юроп/Фармстандарт Лексредства ОАО,42008,тест-полоски one touch select,,100,
"АКТОВЕГИН 0,04/МЛ 2МЛ N25 АМП Р-Р Д/ИН",Такеда Австрия ГмбХ,39628,актовегин,раствор для инъекций амп,25,40мг/мл 2мл
"КРЕСТОР 0,02 N28 ТАБЛ П/ПЛЕН/ОБОЛОЧ",АйПиЭр Фармасьютикалс Инк/ АстраЗенека Индастриз ООО,46137,крестор,табл п/плен/оболоч,28,20мг
"ЦЕРЕТОН 0,4 N28 КАПС","Артлайф ООО/ ФармФирма ""Сотекс ""ЗАО",22668,церетон,капс,28,400мг
"ДОКТОР МОМ ФИТО 20,0 МАЗЬ",Юник Фармасьютикал Лабораториз(Отделение фирмы Дж.,44049,доктор мом фито,д/наруж д/мест мазь,1,20г
"КАРДИОМАГНИЛ 0,15+0,03039 N100 ТАБЛ П/ПЛЕН/ОБОЛОЧ","Такеда Фармасьютикалс, ООО",41763,кардиомагнил,табл п/плен/оболоч,100,"150мг 30,39мг"
"НИКОФЛЕКС 50,0 МАЗЬ","Реанал, ЗАО",3373,никофлекс,мазь,1,50г
"ПРАДАКСА 0,11 N60 КАПС",Берингер Ингельхайм Фарма ГмбХ и Ко.КГ,38712,прадакса,капс,60,110мг
ПЕНТАЛГИН N12 ТАБЛ П/О (БЕЗ КОДЕИНА),Фармстандарт-Лексредства ОАО,18348,пенталгин без кодеина,табл п/плен/оболоч инд/уп,12,
ГРАММИДИН ДЕТ N18 ТАБЛ Д/РАССАС,"Валента Фарм, ПАО",37429,граммидин,табл д/дет д/рассас,18,".1,5мг 1мг"
"УТРОЖЕСТАН 0,2 N14 КАПС",ОЛИК(Тайланд)Лимитед,39116,утрожестан,капс блистер,14,200мг
СТРЕПСИЛС С ВИТАМИНОМ С N24 ТАБЛ /АПЕЛЬСИН/,Рекитт Бенкизер Хелскэр Интернешнл Лтд,22119,стрепсилс с витс /апельсин/,табл д/рассас,24,
"АРИФОН РЕТАРД 0,0015 N30 ТАБЛ С КОНТРОЛ ВЫСВОБ П/ПЛЕН/ОБОЛОЧ",СЕРВЬЕ РУС ООО,48137,арифон ретард с контр,табл п/плен/оболоч,30,1.5мг
"КОНКОР 0,005 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Мерк КГаА/ Нанолек ООО,47696,конкор,табл п/плен/оболоч,30,5мг
ЛОНГИДАЗА 3000МЕ N10 СУПП,"Петровакс Фарм НПО, ООО",13042,лонгидаза,рект ваг супп,10,3000ме
"ПАРИЕТ 0,02 N14 ТАБЛ П/КИШЕЧНОРАСТВОР/ОБОЛОЧ",Бушу Фармасьютикалз Лтд. Мисато фэктори/ Силаг АГ,1489,париет,табл п/плен/оболоч кишечнораствор,14,20мг
МАГНЕЛИС В6 N50 ТАБЛ П/О/ПАЧКА/,"Фармстандарт-Уфимский витаминный завод,ОАО",15345,магнелис b6,табл п/плен/оболоч инд/уп,50,
"НУРОФЕН ТАБ П/О 0,2 N20",Рекитт Бенкизер Хелскэр Интернешнл Лтд,39218,нурофен,табл п/плен/оболоч,20,200мг
"ЛИРИКА 0,3 N14 КАПС",Пфайзер Мэнюфэкчуринг Дойчленд ГмбХ,15434,лирика,капс,14,300мг
"АУГМЕНТИН 0,875/0,125 N14 ТАБЛ П/ПЛЕН/ОБОЛОЧ",СмитКляйн Бичем Лимитед,42391,аугментин 4,табл п/плен/оболоч пак,14,875мг 125мг
ВИБРОЦИЛ 15МЛ НАЗАЛ КАПЛИ,Новартис Консьюмер Хелс С.А.,2299,виброцил,фл/кап назал капли,1,15мл
"НУРОФЕН 0,1/5МЛ 200МЛ СУСП Д/ПРИЕМА ВНУТРЬ /КЛУБНИКА/",Рекитт Бенкизер Хелскэр (Великобритания) Лимитед,44179,нурофен /клубника/ 200,д/дет сусп,1,
"ЭЗЕТРОЛ 0,01 N28 ТАБЛ",МСД Интернэшнл ГмбХ (Пуэрто-Рико Бранч) ЛЛС/Шеринг-Плау Лабо Н.В,48511,эзетрол,табл,28,10мг
СТРЕПСИЛС МЕНТОЛ-ЭВКАЛИПТ N24 ТАБЛ,Рекитт Бенкизер Хелскэр Интернешнл Лтд,446,стрепсилстол-эвкалипт/,табл д/рассас,24,/ме
"МОВАЛИС 0,015/1,5МЛ N5 АМП Р-Р В/М",Берингер Ингельхайм Эспана С.А.,40061,мовалис,раствор для инъекций в/м,5,15мг 1.5мл
"НОЛИПРЕЛ А 0,000625+0,0025 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ",СЕРВЬЕ РУС ООО,48205,нолипрел а 25,табл п/плен/оболоч флакон,30,"0,625мг"
ВИТАМИШКИ IMMUNO+ОБЛЕПИХА N60 ЖЕВАТЕЛЬНЫЕ  ПАСТИЛКИ,"Trolli GmbH/ БиоВид, ООО",37476,витамишки иммуно плюс облепиха,жев пастилки,60,
АЦИПОЛ N30 КАПС,ЛЕККО  ЗАО,13793,аципол,капс,30,
"ФЕВАРИН 0,1 N15 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Майлан Лэбораториз САС,44059,феварин,табл п/плен/оболоч,15,100мг
"НУРОФЕН Д/ДЕТ СУСП 0,1/5МЛ 150МЛ /КЛУБНИКА/",Рекитт Бенкизер Хелскэр (Великобритания) Лимитед,37685,нурофен /клубника/ 150,д/дет сусп,1,
"ТРАНЕКСАМ 0,05/МЛ 5МЛ N10 АМП Р-Р В/В","Московский эндокринный завод ,ФГУП",23007,транексам,раствор в/в,10,50мг/мл 5мл
"ДИАБЕТОН МВ 0,06 N30 ТАБЛ С МОДИФ ВЫСВОБ",СЕРВЬЕ РУС ООО,48213,диабетон мв с модиф,табл,30,60мг
ЦЕРЕБРОЛИЗИН 5МЛ N5 АМП Р-Р Д/ИН,ЭВЕР Фарма Йена ГмбХ/ ЭВЕР Нейро Фарма ГмбХ,608,церебролизин,раствор для инъекций амп,5,5мл
"ЦЕРЕТОН 0,25/МЛ 4МЛ N5 АМП Р-Р В/В В/М","ФармФирма ""Сотекс"",ЗАО",12797,церетон,раствор амп в/м в/в,5,250мг/мл 4мл
НОВО-ПАССИТ N60 ТАБЛ П/ПЛЕН/ОБОЛОЧ,Тева Чешские Предприятия с.р.о.,41937,ново-пассит,табл п/плен/оболоч,60,
ЭРИСПИРУС 2МГ/МЛ 150МЛ СИРОП  N1 ФЛАК,Сандоз Илач Санаи Ве Тиджарет А.С.,43301,эриспирус ложка,флакон дозир сироп,1,2мг/мл 150мл
"ЭНТЕРОСГЕЛЬ 225,0 ПАСТА",ТНК СИЛМА ООО,3157,энтеросгель,туба паста,1,225г
ВЕССЕЛ ДУЭ Ф 250ЛЕ N60 КАПС,Каталент Итали С.п.А/Альфасигма С.п.А.,46347,вессел дуэ ф 250 ле,капс,60,
"БЕТАСЕРК 0,024 N60 ТАБЛ",Майлан Лэбораториз САС,45189,бетасерк,табл блистер,60,24мг
ЮНИВИТ КИДС N30 ЖЕВ ПАСТИЛКИ,Амафарм ГмбХ,39347,юнивит кидс динозавр,флакон жев пастилки,30,4г
"НЕБИЛЕТ 0,005 N28 ТАБЛ",Берлин-Хеми АГ,12640,небилет,табл,28,5мг
КОМПЛИВИТ N60 ТАБЛ П/О,"Фармстандарт-Уфимский витаминный завод,ОАО",4668,компливит,табл п/плен/оболоч,60,
"СИАЛОР 0,2 N1 ТАБЛ Д/Р-РА Д/МЕСТ ПРИМ + РАСТ-ЛЬ 10МЛ 1АМП",Обновление ПФК  АО,48379,сиалор с пипеткой,табл д/мест д/приг раствор,1,200мг 10мл
ОФТАН-КАТАХРОМ 10 МЛ КАПЛИ,САНТЭН АО,3499,офтан катахром,фл/кап глаз капли,1,10мл
ХИЛАК ФОРТЕ 100МЛ ФЛАК КАПЛИ Д/ПРИЕМА ВНУТРЬ,Меркле ГмбХ,40847,хилак форте набор,капли,3,100мл
"ДОНОРМИЛ 0,015 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ",УПСА САС,44528,донормил плен,табл п/плен/оболоч,30,15мг
СТРЕПСИЛС ЛИМОН Б/САХАРА N24 ТАБЛ,Рекитт Бенкизер Хелскэр Интернешнл Лтд,14692,стрепсилс /лимон/ б/сахара,табл д/рассас,24,
СПАЗМАЛГОН N20 ТАБЛ,Здравле ХФЗ АО,42790,спазмалгон,табл,20,
ЦИСТОН N100 ТАБЛ,Хималайя Драг Ко.,1177,цистон,табл,100,
СПАЗМАЛГОН N50 ТАБЛ,Здравле ХФЗ АО,42991,спазмалгон,табл,50,
"ЭЛИКВИС 0,005 N60 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Бристол-Майерс Сквибб Мэнюфэкчуринг Компани/Бристо,40719,эликвис,табл п/плен/оболоч,60,5мг
"ФЛЕБОДИА 600 0,6 N60 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Иннотера Шузи,42048,флебодиа 600,табл п/плен/оболоч,60,600мг
КОМБИЛИПЕН 2МЛ N10 АМП Р-Р В/М,"Фармстандарт-Уфимский витаминный завод,ОАО",12911,комбилипен,раствор амп в/м,10,2мл
ОМАКОР N28 КАПС,Патеон Софтджелс Б.В./Эбботт Лэбораториз ГмбХ,44512,омакор,капс,28,1000мг
"ХОНДРОГАРД 0,1/МЛ 1МЛ N10 АМП Р-Р В/М","ФармФирма ""Сотекс"",ЗАО",38403,хондрогард,раствор амп в/м,10,100мг/мл 1мл
"НООПЕПТ 0,01 N50 ТАБЛ",Фармстандарт-Лексредства ОАО,43830,ноопепт,табл,50,10мг
"АРОМАЗИН 0,025 N30 ТАБЛ П/О",Пфайзер Италия С.р.Л.,6805,аромазин,табл п/плен/оболоч,30,25мг
АКВАДЕТРИМ 15000МЕ/МЛ 10МЛ ФЛАК КАПЛИ Д/ВН,Медана Фарма Акционерное Общество,3762,аквадетрим витd3 мл тс,д/вн/пр д/мест фл/кап капли,1,15000ме 10мл
"ФИЛЬТРУМ-СТИ 0,4 N50 ТАБЛ",АВВА РУС  АО,47015,фильтрум-сти,табл,50,400мг
ТЕСТ-ПОЛОСКИ АККУ-ЧЕК ПЕРФОРМА N100,Рош Диабетс Кеа ГмбХ,41849,тест-полоски accu-chek performa,,100,
ПОЛИДЕКСА С ФЕНИЛЭФРИНОМ 15МЛ НАЗ СПРЕЙ,Софартекс,1670,полидекса с фенилэфрином,флакон назал спрей,1,15мл
СТРЕПСИЛС МЕДОВО-ЛИМОННЫЙ N36 ТАБЛ,Рекитт Бенкизер Хелскэр Интернешнл Лтд,11975,стрепсилс-лимон/,табл д/рассас,36,/ме
"ПАРИЕТ 0,01 N14 ТАБЛ П/КИШЕЧ Р-РИМ/ОБОЛОЧ",Бушу Фармасьютикалз Лтд. Мисато фэктори/ Силаг АГ,39920,париет,табл п/плен/оболоч кишечнораствор,14,10мг
"ИЗОПРИНОЗИН 0,5 N50 ТАБЛ",Лузомедикамента-Тех.фарм.общ./Фарм.завод Тева Прай,14224,изопринозин,табл,50,500мг
МИЛЬГАММА 2МЛ N10 АМП Р-Р Д/ИН,Солюфарм Фармацойтише Эрцойгниссе ГмбХ,17874,мильгамма,раствор амп в/м,10,2мл
"ФЛЮКОСТАТ 0,15 N1 КАПС",Фармстандарт-Лексредства ОАО,11463,флюкостат,капс,1,150мг
"МОВАЛИС 0,015/1,5МЛ N3 АМП Р-Р В/М",Берингер Ингельхайм Эспана С.А.,433,мовалис,раствор для инъекций в/м,3,15мг 1.5мл
"ГЕНФЕРОН ЛАЙТ 125000МЕ+0,005 N10 СУПП","БИОКАД,ЗАО",15244,генферон лайт,рект ваг супп,10,125000ме 5мг
ЛАКТОФИЛЬТРУМ N30 ТАБЛ,АВВА РУС  АО,15154,лактофильтрум,табл,30,355мг 120мг
"ДЕТРАЛЕКС 0,5 N60 ТАБЛ П/ПЛЕН/ОБОЛОЧ","Сердикс, ООО",12124,детралекс,табл п/плен/оболоч,60,500мг
"ДЕ-НОЛ 0,12 N32 ТАБЛ П/ПЛЕН/ОБОЛОЧ","Р-ФАРМ, АО/ОРТАТ, АО",45235,де-нол,табл п/плен/оболоч,32,120мг
ФЕЗАМ N60 КАПС,Здравле ХФЗ АО,41161,фезам,капс,60,400мг 25мг
"ЦИКЛОФЕРОН 0,15 N20 ТАБЛ П/КИШЕЧНОРАСТВОР/ОБОЛОЧ","ПОЛИСАН НТФФ, ООО",38850,циклоферон об,табл кишечнораствор,20,150мг
"НАТАЛЬСИД 0,25 N10 СУПП РЕКТ",Нижфарм АО,2939,натальсид,рект супп,10,250мг
"ВАЛВИР 0,5 N42 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Балканфарма - Дупница АД,47260,валвир,табл п/плен/оболоч,42,500мг
"СУПРАСТИН 0,025 N20 ТАБЛ",Эгис Фармацевтический завод ЗАО,650,супрастин,табл,20,25мг
"КОРАКСАН 0,005 N56 ТАБЛ П/ПЛЕН/ОБОЛОЧ","Сердикс, ООО",48628,кораксан,табл п/плен/оболоч,56,5мг
